Fecha,Hora,Casa Palacio-Puerto del Rosario DD (Grd),Flag,Casa Palacio-Puerto del Rosario BEN (µg/m³),Flag,Casa Palacio-Puerto del Rosario VV (m/s),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag,Casa Palacio-Puerto del Rosario HR (%),Flag
06-02-2015,24:00,22,V,0.6,V,3.2,V,16,V,49,V
07-02-2015,24:00,23,V,0.5,V,2.4,V,16.1,V,53,V
08-02-2015,24:00,23,V,0.5,V,2,V,16.1,V,57,V
09-02-2015,24:00,21,V,0.8,V,1.6,V,16.4,V,58,V
10-02-2015,24:00,270,V,1,V,1,V,16.7,V,61,V
11-02-2015,24:00,269,V,,N,1.1,V,16.2,V,68,V
12-02-2015,24:00,21,V,,N,2.2,V,16.3,V,62,V
13-02-2015,24:00,22,V,,N,3.1,V,16.6,V,58,V
14-02-2015,24:00,22,V,0.5,V,4,V,16.4,V,61,V
15-02-2015,24:00,23,V,0.4,V,3.1,V,16.9,V,67,V
16-02-2015,24:00,23,V,,N,3.7,V,17.3,V,70,V
17-02-2015,24:00,22,V,0.3,V,5.3,V,16.9,V,63,V
18-02-2015,24:00,21,V,0.3,V,5.2,V,17.1,V,54,V
19-02-2015,24:00,6,V,0.4,V,6.1,V,17.1,V,63,V
20-02-2015,24:00,21,V,0.4,V,4.9,V,17.2,V,59,V
21-02-2015,24:00,22,V,0.4,V,4.7,V,17.6,V,63,V
22-02-2015,24:00,23,V,0.4,V,4,V,17.4,V,65,V
23-02-2015,24:00,22,V,0.3,V,4.3,V,17.1,V,72,V
24-02-2015,24:00,22,V,0.3,V,5.3,V,17.1,V,69,V
25-02-2015,24:00,22,V,0.4,V,5.8,V,16.9,V,67,V
26-02-2015,24:00,22,V,0.4,V,4.7,V,16.9,V,69,V
27-02-2015,24:00,22,V,0.3,V,4.7,V,17.3,V,68,V
28-02-2015,24:00,23,V,0.3,V,4.2,V,17.7,V,66,V
01-03-2015,24:00,24,V,0.2,V,3.8,V,16.6,V,70,V
02-03-2015,24:00,23,V,0.3,V,3,V,17.6,V,70,V
03-03-2015,24:00,24,V,0.3,V,2.6,V,17.1,V,76,V
04-03-2015,24:00,23,V,0.3,V,3.1,V,17.1,V,76,V
05-03-2015,24:00,23,V,0.4,V,2.7,V,18.4,V,71,V
06-03-2015,24:00,23,V,0.3,V,2.8,V,19.4,V,59,V
07-03-2015,24:00,321,V,0.4,V,1.5,V,21.5,V,46,V
08-03-2015,24:00,178,V,0.3,V,2,V,19.3,V,59,V
09-03-2015,24:00,336,V,0.4,V,3.2,V,17.8,V,75,V
10-03-2015,24:00,113,V,0.4,V,1.9,V,17.4,V,77,V
11-03-2015,24:00,108,V,0.4,V,1.3,V,17.5,V,74,V
12-03-2015,24:00,297,V,0.3,V,3.2,V,17.8,V,65,V
13-03-2015,24:00,197,V,0.3,V,3.9,V,16.8,V,64,V
14-03-2015,24:00,180,V,0.3,V,4.2,V,17.4,V,57,V
15-03-2015,24:00,182,V,0.3,V,3.6,V,17.4,V,65,V
16-03-2015,24:00,134,V,0.3,V,2.2,V,16.5,V,67,V
17-03-2015,24:00,163,V,0.3,V,3.5,V,17.1,V,60,V
18-03-2015,24:00,162,V,0.3,V,3.5,V,16.5,V,57,V
19-03-2015,24:00,111,V,0.3,V,3.2,V,17,V,59,V
20-03-2015,24:00,113,V,0.4,V,2.8,V,17,V,59,V
21-03-2015,24:00,112,V,0.4,V,0.9,V,17.3,V,60,V
22-03-2015,24:00,95,V,0.4,V,2,V,16.8,V,65,V
23-03-2015,24:00,93,V,0.4,V,1.6,V,17.1,V,66,V
24-03-2015,24:00,222,V,0.3,V,5.1,V,17,V,56,V
25-03-2015,24:00,181,V,0.3,V,3.9,V,16.8,V,53,V
26-03-2015,24:00,176,V,0.3,V,4.3,V,17.1,V,57,V
27-03-2015,24:00,181,V,0.3,V,3.7,V,17.6,V,66,V
28-03-2015,24:00,111,V,0.3,V,2.6,V,17.7,V,74,V
29-03-2015,24:00,157,V,0.3,V,3.2,V,17.9,V,76,V
30-03-2015,24:00,117,V,0.3,V,2.3,V,18.5,V,73,V
31-03-2015,24:00,229,V,0.3,V,3.4,V,17.7,V,76,V
01-04-2015,24:00,157,V,,N,2.6,V,,N,,N
02-04-2015,24:00,,N,,N,,N,,N,,N
03-04-2015,24:00,,N,,N,,N,,N,,N
04-04-2015,24:00,,N,,N,,N,,N,,N
05-04-2015,24:00,,N,,N,,N,,N,,N
06-04-2015,24:00,177,V,,N,2.7,V,,N,,N
07-04-2015,24:00,156,V,0.3,V,2.2,V,19.1,V,62,V
08-04-2015,24:00,155,V,0.3,V,1.7,V,18.9,V,64,V
09-04-2015,24:00,151,V,,N,2.1,V,18.6,V,65,V
10-04-2015,24:00,148,V,,N,3.3,V,18.1,V,67,V
11-04-2015,24:00,151,V,0.2,V,3.5,V,17.9,V,67,V
12-04-2015,24:00,144,V,0.3,V,2.1,V,19,V,61,V
13-04-2015,24:00,141,V,0.4,V,1.7,V,19,V,59,V
14-04-2015,24:00,143,V,0.5,V,1.7,V,18.9,V,62,V
15-04-2015,24:00,143,V,0.3,V,2.8,V,18.8,V,62,V
16-04-2015,24:00,143,V,0.3,V,3.2,V,19,V,61,V
17-04-2015,24:00,142,V,0.3,V,3.1,V,18.8,V,63,V
18-04-2015,24:00,142,V,0.3,V,3.4,V,19,V,63,V
19-04-2015,24:00,141,V,0.3,V,3.7,V,18.3,V,57,V
20-04-2015,24:00,140,V,0.3,V,3.6,V,18.6,V,59,V
21-04-2015,24:00,141,V,0.3,V,3.3,V,18.6,V,61,V
22-04-2015,24:00,140,V,0.3,V,3.1,V,18.4,V,59,V
23-04-2015,24:00,139,V,0.4,V,2.8,V,18.2,V,63,V
24-04-2015,24:00,138,V,0.3,V,2.5,V,18.3,V,64,V
25-04-2015,24:00,141,V,0.3,V,2.1,V,20.1,V,67,V
26-04-2015,24:00,142,V,0.3,V,3.1,V,20.1,V,68,V
27-04-2015,24:00,117,V,0.3,V,1.8,V,19.5,V,66,V
28-04-2015,24:00,149,V,0.3,V,4.1,V,19.1,V,61,V
29-04-2015,24:00,152,V,0.3,V,4,V,19,V,67,V
30-04-2015,24:00,135,V,0.3,V,2.5,V,19.2,V,71,V
01-05-2015,24:00,160,V,0.3,V,2.6,V,20.6,V,66,V
02-05-2015,24:00,154,V,0.4,V,2.3,V,22.6,V,56,V
03-05-2015,24:00,143,V,0.3,V,2.4,V,22.9,V,41,V
04-05-2015,24:00,139,V,0.4,V,2.2,V,22.6,V,55,V
05-05-2015,24:00,24,V,0.3,V,3.1,V,20.8,V,70,V
06-05-2015,24:00,40,V,0.3,V,2.6,V,20.5,V,69,V
07-05-2015,24:00,7,V,0.3,V,2.8,V,21.8,V,61,V
08-05-2015,24:00,21,V,0.2,V,3.2,V,21.1,V,66,V
09-05-2015,24:00,23,V,0.2,V,3.5,V,20.4,V,71,V
10-05-2015,24:00,23,V,0.2,V,3.1,V,20.3,V,73,V
11-05-2015,24:00,22,V,0.3,V,2.9,V,23.3,V,63,V
12-05-2015,24:00,20,V,0.4,V,2.4,V,26.2,V,53,V
13-05-2015,24:00,22,V,0.3,V,3.4,V,30.6,V,32,V
14-05-2015,24:00,22,V,0.3,V,4.4,V,25.7,V,49,V
15-05-2015,24:00,22,V,0.3,V,3.8,V,22.5,V,66,V
16-05-2015,24:00,23,V,0.3,V,3.7,V,21.2,V,70,V
17-05-2015,24:00,7,V,0.2,V,2.9,V,22,V,61,V
18-05-2015,24:00,7,V,0.2,V,3.8,V,21.1,V,62,V
19-05-2015,24:00,7,V,0.2,V,4.6,V,21,V,60,V
20-05-2015,24:00,7,V,0.2,V,5.5,V,20.1,V,54,V
21-05-2015,24:00,7,V,0.2,V,5.7,V,20.3,V,58,V
22-05-2015,24:00,7,V,0.2,V,5.4,V,20.4,V,58,V
23-05-2015,24:00,6,V,0.2,V,4.8,V,20.3,V,57,V
24-05-2015,24:00,6,V,0.2,V,4.7,V,20.3,V,56,V
25-05-2015,24:00,7,V,0.2,V,3.5,V,20.5,V,55,V
26-05-2015,24:00,7,V,0.2,V,3.2,V,20.8,V,62,V
27-05-2015,24:00,7,V,0.2,V,3.4,V,20.8,V,61,V
28-05-2015,24:00,6,V,0.3,V,3.1,V,20.9,V,61,V
29-05-2015,24:00,7,V,0.3,V,3.3,V,21,V,62,V
30-05-2015,24:00,22,V,0.2,V,3,V,21.3,V,64,V
31-05-2015,24:00,7,V,0.2,V,3.4,V,21,V,65,V
01-06-2015,24:00,7,V,0.2,V,5.1,V,21,V,61,V
02-06-2015,24:00,7,V,0.2,V,5,V,21.5,V,63,V
03-06-2015,24:00,7,V,0.2,V,4,V,22.3,V,63,V
04-06-2015,24:00,7,V,0.2,V,3.3,V,21.1,V,70,V
05-06-2015,24:00,23,V,0.2,V,3.4,V,20.9,V,73,V
06-06-2015,24:00,294,V,0.3,V,3,V,22.2,V,68,V
07-06-2015,24:00,294,V,0.2,V,2.5,V,22,V,69,V
08-06-2015,24:00,7,V,0.2,V,3.5,V,22.3,V,64,V
09-06-2015,24:00,7,V,0.2,V,3.2,V,20.9,V,64,V
10-06-2015,24:00,7,V,0.2,V,2.6,V,21.7,V,56,V
11-06-2015,24:00,7,V,0.3,V,2.1,V,21.8,V,55,V
12-06-2015,24:00,23,V,0.3,V,3,V,21.4,V,60,V
13-06-2015,24:00,136,V,0.3,V,1.6,V,22.2,V,61,V
14-06-2015,24:00,7,V,0.2,V,3.2,V,22.2,V,58,V
15-06-2015,24:00,7,V,0.2,V,2.9,V,21.3,V,61,V
16-06-2015,24:00,22,V,0.2,V,4,V,21.5,V,62,V
17-06-2015,24:00,22,V,0.2,V,3.7,V,21.9,V,60,V
18-06-2015,24:00,7,V,0.2,V,3.5,V,22.3,V,63,V
19-06-2015,24:00,7,V,0.2,V,3.5,V,23,V,60,V
20-06-2015,24:00,7,V,0.2,V,2.9,V,23.2,V,61,V
21-06-2015,24:00,23,V,0.2,V,4,V,22.2,V,66,V
22-06-2015,24:00,7,V,0.2,V,3.5,V,22.6,V,61,V
23-06-2015,24:00,7,V,0.2,V,3.8,V,22.5,V,57,V
24-06-2015,24:00,7,V,0.2,V,3.9,V,22.5,V,60,V
25-06-2015,24:00,7,V,0.2,V,3.4,V,22.6,V,60,V
26-06-2015,24:00,7,V,0.2,V,4,V,22.9,V,56,V
27-06-2015,24:00,7,V,0.2,V,3.3,V,23.2,V,61,V
28-06-2015,24:00,7,V,0.2,V,3.3,V,23.1,V,67,V
29-06-2015,24:00,23,V,0.2,V,2.8,V,22.6,V,72,V
30-06-2015,24:00,23,V,0.2,V,3.1,V,22.6,V,72,V
01-07-2015,24:00,7,V,0.2,V,2.8,V,22.5,V,67,V
02-07-2015,24:00,22,V,0.2,V,3.7,V,23,V,69,V
03-07-2015,24:00,23,V,0.2,V,3.6,V,22.9,V,68,V
04-07-2015,24:00,7,V,0.2,V,3.4,V,23.3,V,62,V
05-07-2015,24:00,23,V,0.2,V,4.3,V,22.9,V,70,V
06-07-2015,24:00,22,V,0.3,V,3.7,V,25.2,V,69,V
07-07-2015,24:00,22,V,0.4,V,3.7,V,27.1,V,59,V
08-07-2015,24:00,22,V,0.4,V,3.2,V,28.7,V,49,V
09-07-2015,24:00,23,V,0.2,V,3.1,V,27.9,V,48,V
10-07-2015,24:00,22,V,0.2,V,4,V,25.6,V,53,V
11-07-2015,24:00,7,V,0.2,V,3.5,V,23.3,V,68,V
12-07-2015,24:00,7,V,0.2,V,4.2,V,24.9,V,63,V
13-07-2015,24:00,22,V,0.2,V,3.9,V,25.5,V,62,V
14-07-2015,24:00,22,V,0.3,V,3.9,V,26.4,V,60,V
15-07-2015,24:00,7,V,0.2,V,3.6,V,27.9,V,48,V
16-07-2015,24:00,7,V,0.2,V,3.1,V,25.5,V,60,V
17-07-2015,24:00,23,V,0.3,V,3.9,V,25.3,V,59,V
18-07-2015,24:00,7,V,0.2,V,3.8,V,24.6,V,64,V
19-07-2015,24:00,7,V,0.2,V,5.7,V,24.6,V,65,V
20-07-2015,24:00,7,V,0.2,V,4.5,V,25.1,V,68,V
21-07-2015,24:00,7,V,0.2,V,3.5,V,25.8,V,68,V
22-07-2015,24:00,23,V,0.3,V,3.4,V,27.2,V,62,V
23-07-2015,24:00,22,V,0.2,V,4,V,29.7,V,45,V
24-07-2015,24:00,23,V,0.2,V,4.3,V,26.6,V,55,V
25-07-2015,24:00,22,V,0.2,V,3.9,V,24.1,V,72,V
26-07-2015,24:00,22,V,0.2,V,3.5,V,24,V,66,V
27-07-2015,24:00,23,V,0.2,V,3.4,V,23.7,V,68,V
28-07-2015,24:00,23,V,0.2,V,3.9,V,24,V,70,V
29-07-2015,24:00,22,V,0.2,V,4.2,V,24.1,V,70,V
30-07-2015,24:00,7,V,0.2,V,4.1,V,24.7,V,64,V
31-07-2015,24:00,7,V,0.2,V,4.1,V,24.9,V,63,V
01-08-2015,24:00,7,V,0.2,V,3.2,V,23.9,V,66,V
02-08-2015,24:00,7,V,0.2,V,2.3,V,23.8,V,60,V
03-08-2015,24:00,7,V,0.2,V,2.8,V,23.9,V,63,V
04-08-2015,24:00,22,V,0.2,V,3.9,V,24.4,V,63,V
05-08-2015,24:00,22,V,0.2,V,4,V,25,V,67,V
06-08-2015,24:00,7,V,0.2,V,3.4,V,25.1,V,68,V
07-08-2015,24:00,22,V,0.3,V,3.2,V,25.5,V,73,V
08-08-2015,24:00,23,V,0.2,V,3.8,V,24.4,V,75,V
09-08-2015,24:00,22,V,0.2,V,3,V,24.9,V,73,V
10-08-2015,24:00,22,V,0.3,V,3.2,V,27.5,V,61,V
11-08-2015,24:00,23,V,0.3,V,3.1,V,28.2,V,52,V
12-08-2015,24:00,22,V,0.2,V,4.2,V,27,V,60,V
13-08-2015,24:00,22,V,0.3,V,3.3,V,26.4,V,69,V
14-08-2015,24:00,22,V,0.2,V,3.9,V,24.8,V,70,V
15-08-2015,24:00,23,V,0.2,V,4.4,V,23.8,V,66,V
16-08-2015,24:00,22,V,0.2,V,3.9,V,24.4,V,63,V
17-08-2015,24:00,7,V,0.2,V,3.4,V,24.4,V,68,V
18-08-2015,24:00,23,V,0.2,V,3.1,V,24.5,V,66,V
19-08-2015,24:00,45,V,0.2,V,3.6,V,24.1,V,67,V
20-08-2015,24:00,23,V,0.2,V,3.2,V,23.7,V,68,V
21-08-2015,24:00,22,V,0.2,V,3.4,V,23.8,V,70,V
22-08-2015,24:00,23,V,0.2,V,4.1,V,24.1,V,68,V
23-08-2015,24:00,22,V,0.2,V,4.1,V,24.3,V,66,V
24-08-2015,24:00,22,V,0.2,V,3.9,V,24,V,68,V
25-08-2015,24:00,7,V,0.2,V,3.1,V,24.1,V,68,V
26-08-2015,24:00,22,V,0.2,V,3.8,V,24.2,V,63,V
27-08-2015,24:00,7,V,0.2,V,3.3,V,24.7,V,64,V
28-08-2015,24:00,7,V,0.2,V,4,V,24.4,V,66,V
29-08-2015,24:00,7,V,0.2,V,3.5,V,25.1,V,64,V
30-08-2015,24:00,7,V,0.2,V,2.7,V,24.7,V,66,V
31-08-2015,24:00,23,V,0.2,V,3,V,24.5,V,73,V
01-09-2015,24:00,22,V,0.2,V,3.2,V,24.6,V,73,V
02-09-2015,24:00,23,V,0.2,V,3.3,V,24,V,68,V
03-09-2015,24:00,22,V,0.2,V,3.9,V,23.8,V,66,V
04-09-2015,24:00,23,V,0.2,V,3.6,V,23.8,V,63,V
05-09-2015,24:00,7,V,0.2,V,2.7,V,24,V,68,V
06-09-2015,24:00,22,V,0.2,V,2.5,V,24.8,V,69,V
07-09-2015,24:00,23,V,0.2,V,2.4,V,24.1,V,74,V
08-09-2015,24:00,23,V,0.2,V,2.7,V,24.7,V,69,V
09-09-2015,24:00,7,V,0.2,V,2.7,V,24,V,64,V
10-09-2015,24:00,7,V,0.2,V,3.3,V,24.5,V,61,V
11-09-2015,24:00,7,V,0.2,V,4,V,25.3,V,66,V
12-09-2015,24:00,45,V,,N,2.2,V,,N,,N
13-09-2015,24:00,45,V,0.2,V,2.8,V,24.4,V,68,V
14-09-2015,24:00,7,V,0.2,V,2.3,V,24.7,V,69,V
15-09-2015,24:00,7,V,0.2,V,2.3,V,24.7,V,66,V
16-09-2015,24:00,6,V,0.3,V,2.7,V,25.5,V,57,V
17-09-2015,24:00,6,V,0.2,V,2.6,V,26.3,V,62,V
18-09-2015,24:00,23,V,0.2,V,2.6,V,24.1,V,70,V
19-09-2015,24:00,45,V,0.2,V,2.4,V,24,V,62,V
20-09-2015,24:00,23,V,0.2,V,2.8,V,23.8,V,70,V
21-09-2015,24:00,22,V,0.3,V,2.4,V,25.2,V,73,V
22-09-2015,24:00,7,V,0.6,V,1.9,V,28.6,V,53,V
23-09-2015,24:00,,N,,N,,N,,N,,N
24-09-2015,24:00,22,V,,N,2.5,V,,N,,N
25-09-2015,24:00,23,V,0.2,V,2.3,V,24.1,V,76,V
26-09-2015,24:00,23,V,,N,3,V,24,V,69,V
27-09-2015,24:00,22,V,,N,2.8,V,23.9,V,67,V
28-09-2015,24:00,7,V,,N,2,V,23.8,V,68,V
29-09-2015,24:00,7,V,,N,1.6,V,23.8,V,66,V
30-09-2015,24:00,7,V,,N,1.6,V,24,V,66,V
01-10-2015,24:00,45,V,,N,2.2,V,24.5,V,72,V
02-10-2015,24:00,45,V,,N,1.8,V,25.3,V,71,V
03-10-2015,24:00,7,V,,N,1.1,V,26.1,V,60,V
04-10-2015,24:00,22,V,,N,2.3,V,28.8,V,42,V
05-10-2015,24:00,294,V,,N,2.7,V,28.9,V,56,V
06-10-2015,24:00,23,V,,N,2.9,V,25.7,V,69,V
07-10-2015,24:00,23,V,,N,3,V,24.2,V,70,V
08-10-2015,24:00,7,V,,N,3,V,24.2,V,59,V
09-10-2015,24:00,7,V,,N,1.6,V,24.5,V,61,V
10-10-2015,24:00,293,V,,N,2.3,V,25.9,V,65,V
11-10-2015,24:00,7,V,,N,2.4,V,25.2,V,67,V
12-10-2015,24:00,7,V,,N,1.9,V,24.7,V,64,V
13-10-2015,24:00,45,V,,N,2.9,V,23.5,V,62,V
14-10-2015,24:00,45,V,,N,2.1,V,23.7,V,55,V
15-10-2015,24:00,159,V,,N,3.3,V,23.2,V,61,V
16-10-2015,24:00,181,V,0.2,V,3.8,V,25.1,V,66,V
17-10-2015,24:00,293,V,0.3,V,2.6,V,25.4,V,65,V
18-10-2015,24:00,293,V,0.4,V,2.9,V,25.2,V,63,V
19-10-2015,24:00,294,V,0.4,V,2.7,V,23.7,V,66,V
20-10-2015,24:00,293,V,0.4,V,1.9,V,23.2,V,65,V
21-10-2015,24:00,180,V,0.5,V,2.7,V,22.9,V,68,V
22-10-2015,24:00,180,V,0.5,V,2.7,V,24.1,V,73,V
23-10-2015,24:00,181,V,0.2,V,3.3,V,23.1,V,79,V
24-10-2015,24:00,180,V,0.5,V,2,V,22.7,V,78,V
25-10-2015,24:00,7,V,0.3,V,1.4,V,22.9,V,74,V
26-10-2015,24:00,6,V,0.4,V,1.8,V,22.9,V,69,V
27-10-2015,24:00,7,V,0.5,V,1.7,V,23.1,V,66,V
28-10-2015,24:00,45,V,0.2,V,3.3,V,22.8,V,66,V
29-10-2015,24:00,7,V,0.3,V,2.1,V,22.6,V,58,V
30-10-2015,24:00,6,V,0.4,V,1.8,V,22.4,V,57,V
31-10-2015,24:00,7,V,0.4,V,3.1,V,20.3,V,71,V
01-11-2015,24:00,6,V,0.3,V,2.6,V,20.3,V,55,V
02-11-2015,24:00,294,V,0.4,V,1.6,V,20.8,V,59,V
03-11-2015,24:00,294,V,0.4,V,1.3,V,22.2,V,62,V
04-11-2015,24:00,45,V,0.4,V,2.5,V,21.9,V,68,V
05-11-2015,24:00,22,V,0.3,V,2.8,V,22.4,V,71,V
06-11-2015,24:00,22,V,0.3,V,2.7,V,22.8,V,72,V
07-11-2015,24:00,22,V,0.3,V,2.5,V,23.1,V,69,V
08-11-2015,24:00,23,V,0.4,V,2.6,V,23.2,V,75,V
09-11-2015,24:00,7,V,0.5,V,1.7,V,24.5,V,66,V
10-11-2015,24:00,22,V,0.4,V,2.7,V,23.3,V,75,V
11-11-2015,24:00,23,V,0.4,V,3,V,22.7,V,76,V
12-11-2015,24:00,22,V,0.3,V,2.9,V,23.6,V,72,V
13-11-2015,24:00,22,V,0.5,V,3.2,V,23.6,V,74,V
14-11-2015,24:00,22,V,0.5,V,2.1,V,23.7,V,74,V
15-11-2015,24:00,45,V,0.4,V,1.7,V,24.2,V,69,V
16-11-2015,24:00,7,V,0.4,V,1.6,V,22.9,V,71,V
17-11-2015,24:00,23,V,0.3,V,3.1,V,21.6,V,60,V
18-11-2015,24:00,23,V,0.3,V,3,V,22.3,V,71,V
19-11-2015,24:00,22,V,0.4,V,3.1,V,22.4,V,72,V
20-11-2015,24:00,23,V,0.4,V,2.8,V,22,V,72,V
21-11-2015,24:00,22,V,0.2,V,3.4,V,21,V,64,V
22-11-2015,24:00,22,V,0.2,V,5,V,20.7,V,59,V
23-11-2015,24:00,22,V,0.3,V,4.9,V,20,V,57,V
24-11-2015,24:00,23,V,0.3,V,4.8,V,20.1,V,52,V
25-11-2015,24:00,23,V,0.4,V,3.9,V,20.1,V,54,V
26-11-2015,24:00,23,V,0.3,V,3.7,V,20.5,V,59,V
27-11-2015,24:00,7,V,0.3,V,2.4,V,20.6,V,59,V
28-11-2015,24:00,23,V,0.3,V,3.1,V,20.7,V,60,V
29-11-2015,24:00,45,V,0.3,V,3.3,V,21.2,V,67,V
30-11-2015,24:00,7,V,0.9,V,1.4,V,21.9,V,58,V
01-12-2015,24:00,159,V,0.8,V,3.3,V,22.4,V,41,V
02-12-2015,24:00,45,V,0.5,V,1.7,V,21.3,V,55,V
03-12-2015,24:00,7,V,0.6,V,1.2,V,21.1,V,58,V
04-12-2015,24:00,7,V,0.3,V,1.7,V,21.8,V,56,V
05-12-2015,24:00,22,V,0.4,V,1.3,V,21.1,V,61,V
06-12-2015,24:00,23,V,0.6,V,1.4,V,21.4,V,61,V
07-12-2015,24:00,158,V,0.7,V,3.1,V,21.5,V,46,V
08-12-2015,24:00,22,V,0.4,V,1.8,V,21.5,V,48,V
09-12-2015,24:00,22,V,,N,2.2,V,21.2,V,54,V
10-12-2015,24:00,22,V,0.3,V,2,V,21,V,52,V
11-12-2015,24:00,7,V,0.4,V,1.5,V,20.8,V,53,V
12-12-2015,24:00,7,V,0.9,V,1.4,V,19.1,V,55,V
13-12-2015,24:00,159,V,0.6,V,3.4,V,19.5,V,58,V
14-12-2015,24:00,181,V,0.5,V,2.8,V,20.4,V,57,V
15-12-2015,24:00,180,V,0.5,V,2.6,V,21.5,V,53,V
16-12-2015,24:00,180,V,0.5,V,2.7,V,22,V,47,V
17-12-2015,24:00,181,V,0.7,V,2,V,21,V,46,V
18-12-2015,24:00,181,V,1.1,V,1.9,V,20.6,V,56,V
19-12-2015,24:00,180,V,0.9,V,2.8,V,20.7,V,48,V
20-12-2015,24:00,22,V,0.5,V,2.7,V,20.3,V,61,V
21-12-2015,24:00,22,V,0.3,V,3.2,V,20.1,V,73,V
22-12-2015,24:00,45,V,0.4,V,2.8,V,21.3,V,65,V
23-12-2015,24:00,23,V,0.4,V,2.7,V,20.1,V,74,V
24-12-2015,24:00,22,V,0.4,V,1.9,V,20.5,V,61,V
25-12-2015,24:00,22,V,0.5,V,1.8,V,20,V,63,V
26-12-2015,24:00,180,V,0.4,V,4.2,V,20.8,V,52,V
27-12-2015,24:00,181,V,0.4,V,4.2,V,20.6,V,52,V
28-12-2015,24:00,181,V,0.6,V,2.3,V,18.8,V,60,V
29-12-2015,24:00,7,V,0.5,V,1.9,V,19.8,V,67,V
30-12-2015,24:00,7,V,0.4,V,1.6,V,18.9,V,74,V
31-12-2015,24:00,7,V,0.4,V,1.8,V,19.2,V,71,V
