Fecha,Hora,Casa Palacio-Puerto del Rosario PRB (mb),Flag,Casa Palacio-Puerto del Rosario RS (W/m²),Flag,Casa Palacio-Puerto del Rosario TMP (ºC),Flag
10-08-2013,24:00,1008,V,298,V,28.6,V
11-08-2013,24:00,1005,V,272,V,28.2,V
12-08-2013,24:00,1005,V,295,V,27.6,V
13-08-2013,24:00,1006,V,301,V,29.4,V
14-08-2013,24:00,1005,V,301,V,29,V
15-08-2013,24:00,1005,V,300,V,30.3,V
16-08-2013,24:00,1010,V,294,V,28.6,V
17-08-2013,24:00,1012,V,306,V,27.2,V
18-08-2013,24:00,1009,V,252,V,24.6,V
19-08-2013,24:00,1011,V,268,V,25.4,V
20-08-2013,24:00,1014,V,122,V,27.1,V
21-08-2013,24:00,1012,V,173,V,27.7,V
22-08-2013,24:00,1008,V,228,V,31.3,V
23-08-2013,24:00,1011,V,277,V,26.7,V
24-08-2013,24:00,1014,V,281,V,25.1,V
25-08-2013,24:00,1013,V,210,V,23.9,V
26-08-2013,24:00,1011,V,234,V,24.7,V
27-08-2013,24:00,1013,V,215,V,24.3,V
28-08-2013,24:00,1014,V,173,V,23.9,V
29-08-2013,24:00,1014,V,173,V,23.9,V
30-08-2013,24:00,1015,V,287,V,23.8,V
31-08-2013,24:00,1015,V,273,V,24.1,V
01-09-2013,24:00,1013,V,290,V,24.7,V
02-09-2013,24:00,1013,V,285,V,24.4,V
03-09-2013,24:00,1015,V,274,V,24.5,V
04-09-2013,24:00,1016,V,274,V,24.2,V
05-09-2013,24:00,1015,V,255,V,24,V
06-09-2013,24:00,1014,V,101,V,22.6,V
07-09-2013,24:00,1014,V,259,V,23.3,V
08-09-2013,24:00,1020,V,279,V,23.5,V
09-09-2013,24:00,1021,V,270,V,23.5,V
10-09-2013,24:00,1018,V,245,V,23.6,V
11-09-2013,24:00,1015,V,233,V,23.3,V
12-09-2013,24:00,1015,V,77,V,22.7,V
13-09-2013,24:00,1018,V,202,V,23.4,V
14-09-2013,24:00,1019,V,249,V,23.6,V
15-09-2013,24:00,1017,V,243,V,24.6,V
16-09-2013,24:00,1016,V,234,V,24.4,V
17-09-2013,24:00,1017,V,211,V,24,V
18-09-2013,24:00,1018,V,236,V,23.7,V
19-09-2013,24:00,1016,V,168,V,23.6,V
20-09-2013,24:00,1013,V,243,V,23.8,V
21-09-2013,24:00,1015,V,264,V,24.4,V
22-09-2013,24:00,1018,V,265,V,23.9,V
23-09-2013,24:00,1019,V,263,V,23.4,V
24-09-2013,24:00,1015,V,239,V,24.1,V
25-09-2013,24:00,1012,V,132,V,24.3,V
26-09-2013,24:00,1012,V,264,V,23.7,V
27-09-2013,24:00,1013,V,225,V,25,V
28-09-2013,24:00,1015,V,224,V,25.1,V
29-09-2013,24:00,1017,V,208,V,25.8,V
30-09-2013,24:00,1015,V,244,V,25.6,V
01-10-2013,24:00,1012,V,169,V,25.7,V
02-10-2013,24:00,1009,V,245,V,26.1,V
03-10-2013,24:00,1010,V,149,V,25.4,V
04-10-2013,24:00,1016,V,238,V,24.3,V
05-10-2013,24:00,1019,V,213,V,24.4,V
06-10-2013,24:00,1018,V,207,V,24.2,V
07-10-2013,24:00,1018,V,205,V,23.6,V
08-10-2013,24:00,1015,V,134,V,23.8,V
09-10-2013,24:00,1013,V,154,V,23.9,V
10-10-2013,24:00,1012,V,147,V,24.2,V
11-10-2013,24:00,1014,V,216,V,23.8,V
12-10-2013,24:00,1020,V,224,V,23.2,V
13-10-2013,24:00,1021,V,192,V,22.6,V
14-10-2013,24:00,1020,V,211,V,23,V
15-10-2013,24:00,1019,V,218,V,23.1,V
16-10-2013,24:00,1019,V,211,V,22.9,V
17-10-2013,24:00,1016,V,212,V,23.7,V
18-10-2013,24:00,1016,V,172,V,23.3,V
19-10-2013,24:00,1018,V,212,V,23.8,V
20-10-2013,24:00,1018,V,173,V,23.7,V
21-10-2013,24:00,1016,V,174,V,23.4,V
22-10-2013,24:00,1015,V,204,V,24,V
23-10-2013,24:00,1017,V,198,V,23.9,V
24-10-2013,24:00,1015,V,190,V,24.4,V
25-10-2013,24:00,1014,V,128,V,23.4,V
26-10-2013,24:00,1018,V,142,V,22.4,V
27-10-2013,24:00,1018,V,156,V,22.3,V
28-10-2013,24:00,1015,V,139,V,22.7,V
29-10-2013,24:00,1017,V,160,V,23.1,V
30-10-2013,24:00,1018,V,128,V,22.1,V
31-10-2013,24:00,1017,V,137,V,21.6,V
01-11-2013,24:00,1015,V,193,V,21.9,V
02-11-2013,24:00,1015,V,146,V,22.5,V
03-11-2013,24:00,1020,V,52,V,21.6,V
04-11-2013,24:00,1021,V,172,V,22.2,V
05-11-2013,24:00,1023,V,186,V,22,V
06-11-2013,24:00,1022,V,190,V,21.6,V
07-11-2013,24:00,1023,V,161,V,21.8,V
08-11-2013,24:00,1022,V,141,V,21.9,V
09-11-2013,24:00,1022,V,185,V,22.1,V
10-11-2013,24:00,1023,V,139,V,21.3,V
11-11-2013,24:00,1020,V,179,V,21.9,V
12-11-2013,24:00,1017,V,145,V,21.5,V
13-11-2013,24:00,1016,V,141,V,21.9,V
14-11-2013,24:00,1016,V,122,V,21.7,V
15-11-2013,24:00,1015,V,171,V,21.4,V
16-11-2013,24:00,1016,V,151,V,20.9,V
17-11-2013,24:00,1018,V,132,V,19.4,V
18-11-2013,24:00,1020,V,135,V,19.7,V
19-11-2013,24:00,1020,V,128,V,19.7,V
20-11-2013,24:00,1019,V,131,V,19.5,V
21-11-2013,24:00,1019,V,153,V,19.1,V
22-11-2013,24:00,1015,V,122,V,19.8,V
23-11-2013,24:00,1015,V,162,V,21.2,V
24-11-2013,24:00,1013,V,124,V,21.2,V
25-11-2013,24:00,1011,V,137,V,19.7,V
26-11-2013,24:00,1011,V,165,V,20.1,V
27-11-2013,24:00,1009,V,118,V,20.5,V
28-11-2013,24:00,1010,V,165,V,21,V
29-11-2013,24:00,1015,V,123,V,20.8,V
30-11-2013,24:00,1015,V,120,V,20.9,V
01-12-2013,24:00,1010,V,127,V,19.4,V
02-12-2013,24:00,1009,V,104,V,19.3,V
03-12-2013,24:00,1010,V,119,V,20.5,V
04-12-2013,24:00,1015,V,136,V,20.5,V
05-12-2013,24:00,1016,V,140,V,19.9,V
06-12-2013,24:00,1015,V,140,V,20.1,V
07-12-2013,24:00,1019,V,139,V,19.7,V
08-12-2013,24:00,1021,V,159,V,19.5,V
09-12-2013,24:00,1022,V,87,V,19.5,V
10-12-2013,24:00,1020,V,43,V,20,V
11-12-2013,24:00,1020,V,93,V,20.4,V
12-12-2013,24:00,1022,V,62,V,20.3,V
13-12-2013,24:00,1026,V,124,V,19.8,V
14-12-2013,24:00,1026,V,146,V,19.2,V
15-12-2013,24:00,1027,V,127,V,19.4,V
16-12-2013,24:00,1027,V,79,V,18.9,V
17-12-2013,24:00,1031,V,155,V,18.2,V
18-12-2013,24:00,1032,V,143,V,18,V
19-12-2013,24:00,1031,V,162,V,18.4,V
20-12-2013,24:00,1030,V,113,V,18.6,V
21-12-2013,24:00,1029,V,156,V,17.2,V
22-12-2013,24:00,1031,V,126,V,17.7,V
23-12-2013,24:00,1030,V,117,V,18.1,V
24-12-2013,24:00,1028,V,152,V,18.1,V
25-12-2013,24:00,1028,V,160,V,18.4,V
26-12-2013,24:00,1027,V,69,V,20.5,V
27-12-2013,24:00,1023,V,148,V,19.9,V
28-12-2013,24:00,1023,V,74,V,18.8,V
29-12-2013,24:00,1025,V,145,V,17.8,V
30-12-2013,24:00,1025,V,155,V,18.1,V
31-12-2013,24:00,1027,V,161,V,17.5,V
