Fecha,Hora,Casa Palacio-Puerto del Rosario HR (%),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag,Casa Palacio-Puerto del Rosario PRB (mb),Flag
07-12-2018,24:00,77,V,0,V,1018,V
08-12-2018,24:00,74,V,0,V,1027,V
09-12-2018,24:00,77,V,0,V,1027,V
10-12-2018,24:00,69,V,0,V,1026,V
11-12-2018,24:00,73,V,0,V,1026,V
12-12-2018,24:00,62,V,0,V,1026,V
13-12-2018,24:00,67,V,0,V,1028,V
14-12-2018,24:00,,N,,N,,N
15-12-2018,24:00,71,V,0,V,1027,V
16-12-2018,24:00,69,V,0,V,1027,V
17-12-2018,24:00,71,V,0,V,1026,V
18-12-2018,24:00,60,V,0,V,1025,V
19-12-2018,24:00,67,V,0,V,1026,V
20-12-2018,24:00,75,V,0,V,1027,V
21-12-2018,24:00,75,V,0,V,1028,V
22-12-2018,24:00,63,V,0,V,1027,V
23-12-2018,24:00,54,V,0,V,1026,V
24-12-2018,24:00,47,V,0,V,1024,V
25-12-2018,24:00,52,V,0,V,1024,V
26-12-2018,24:00,65,V,0,V,1026,V
27-12-2018,24:00,73,V,0,V,1025,V
28-12-2018,24:00,73,V,0,V,1025,V
29-12-2018,24:00,64,V,0,V,1021,V
30-12-2018,24:00,69,V,0,V,1018,V
31-12-2018,24:00,59,V,0,V,1023,V
