Fecha,Hora,Casa Palacio-Puerto del Rosario PRB (mb),Flag,Casa Palacio-Puerto del Rosario RS (W/m²),Flag,Casa Palacio-Puerto del Rosario LL (l/m²),Flag
11-05-2016,24:00,1008,V,312,V,0,V
12-05-2016,24:00,1010,V,275,V,0,V
13-05-2016,24:00,1012,V,205,V,0,V
14-05-2016,24:00,1011,V,293,V,0,V
15-05-2016,24:00,1010,V,289,V,0,V
16-05-2016,24:00,,N,,N,,N
17-05-2016,24:00,1009,V,231,V,0,V
18-05-2016,24:00,1010,V,198,V,0,V
19-05-2016,24:00,1010,V,242,V,0,V
20-05-2016,24:00,1007,V,238,V,0,V
21-05-2016,24:00,1007,V,303,V,0,V
22-05-2016,24:00,1008,V,277,V,0,V
23-05-2016,24:00,1008,V,321,V,0,V
24-05-2016,24:00,1008,V,316,V,0,V
25-05-2016,24:00,1006,V,144,V,0,V
26-05-2016,24:00,1006,V,236,V,0,V
27-05-2016,24:00,1008,V,209,V,0,V
28-05-2016,24:00,1012,V,279,V,0,V
29-05-2016,24:00,1012,V,306,V,0,V
30-05-2016,24:00,1009,V,253,V,0,V
31-05-2016,24:00,1008,V,307,V,0,V
01-06-2016,24:00,1007,V,314,V,0,V
02-06-2016,24:00,1008,V,278,V,0,V
03-06-2016,24:00,1008,V,289,V,0,V
04-06-2016,24:00,1007,V,288,V,0,V
05-06-2016,24:00,1007,V,342,V,0,V
06-06-2016,24:00,1007,V,300,V,0,V
07-06-2016,24:00,1007,V,322,V,0,V
08-06-2016,24:00,1008,V,341,V,0,V
09-06-2016,24:00,1009,V,307,V,0,V
10-06-2016,24:00,1008,V,204,V,0,V
11-06-2016,24:00,1007,V,264,V,0,V
12-06-2016,24:00,1009,V,315,V,0,V
13-06-2016,24:00,1010,V,290,V,0,V
14-06-2016,24:00,1008,V,306,V,0,V
15-06-2016,24:00,1008,V,272,V,0,V
16-06-2016,24:00,1007,V,172,V,0,V
17-06-2016,24:00,1008,V,254,V,0,V
18-06-2016,24:00,1011,V,314,V,0,V
19-06-2016,24:00,1012,V,320,V,0,V
20-06-2016,24:00,1008,V,323,V,0,V
21-06-2016,24:00,1005,V,319,V,0,V
22-06-2016,24:00,1005,V,293,V,0,V
23-06-2016,24:00,1005,V,305,V,0,V
24-06-2016,24:00,1006,V,304,V,0,V
25-06-2016,24:00,1006,V,286,V,0,V
26-06-2016,24:00,1008,V,299,V,0,V
27-06-2016,24:00,1008,V,228,V,0,V
28-06-2016,24:00,1007,V,253,V,0,V
29-06-2016,24:00,1007,V,144,V,0,V
30-06-2016,24:00,1009,V,281,V,0,V
01-07-2016,24:00,1010,V,324,V,0,V
02-07-2016,24:00,1009,V,138,V,0,V
03-07-2016,24:00,1009,V,247,V,0,V
04-07-2016,24:00,1009,V,289,V,0,V
05-07-2016,24:00,1009,V,324,V,0,V
06-07-2016,24:00,1008,V,217,V,0,V
07-07-2016,24:00,,N,,N,,N
08-07-2016,24:00,,N,,N,,N
09-07-2016,24:00,,N,,N,,N
10-07-2016,24:00,,N,,N,,N
11-07-2016,24:00,,N,,N,,N
12-07-2016,24:00,,N,,N,,N
13-07-2016,24:00,1005,V,290,V,0,V
14-07-2016,24:00,1004,V,294,V,0,V
15-07-2016,24:00,1003,V,314,V,0,V
16-07-2016,24:00,1004,V,311,V,0,V
17-07-2016,24:00,1004,V,309,V,0,V
18-07-2016,24:00,,N,,N,,N
19-07-2016,24:00,,N,,N,,N
20-07-2016,24:00,,N,,N,,N
21-07-2016,24:00,,N,,N,,N
22-07-2016,24:00,,N,,N,,N
23-07-2016,24:00,1004,V,301,V,0,V
24-07-2016,24:00,1002,V,300,V,0,V
25-07-2016,24:00,1003,V,276,V,0,V
26-07-2016,24:00,1006,V,232,V,0,V
27-07-2016,24:00,1006,V,255,V,0,V
28-07-2016,24:00,1005,V,306,V,0,V
29-07-2016,24:00,1005,V,235,V,0,V
30-07-2016,24:00,1005,V,149,V,0,V
31-07-2016,24:00,1005,V,276,V,0,V
01-08-2016,24:00,1006,V,293,V,0,V
02-08-2016,24:00,1006,V,288,V,0,V
03-08-2016,24:00,1004,V,287,V,0,V
04-08-2016,24:00,1002,V,282,V,0,V
05-08-2016,24:00,1003,V,287,V,0,V
06-08-2016,24:00,1005,V,297,V,0,V
07-08-2016,24:00,1004,V,307,V,0,V
08-08-2016,24:00,1002,V,258,V,0,V
09-08-2016,24:00,1001,V,284,V,0,V
10-08-2016,24:00,1001,V,226,V,0,V
11-08-2016,24:00,1003,V,284,V,0,V
12-08-2016,24:00,1006,V,298,V,0,V
13-08-2016,24:00,1005,V,299,V,0,V
14-08-2016,24:00,1004,V,184,V,0,V
15-08-2016,24:00,1003,V,263,V,0,V
16-08-2016,24:00,1004,V,231,V,0,V
17-08-2016,24:00,1006,V,273,V,0,V
18-08-2016,24:00,1005,V,277,V,0,V
19-08-2016,24:00,1005,V,296,V,0,V
20-08-2016,24:00,1006,V,271,V,0,V
21-08-2016,24:00,1007,V,140,V,0,V
22-08-2016,24:00,1007,V,274,V,0,V
23-08-2016,24:00,1006,V,289,V,0,V
24-08-2016,24:00,1004,V,288,V,0,V
25-08-2016,24:00,1002,V,276,V,0,V
26-08-2016,24:00,1003,V,239,V,0,V
27-08-2016,24:00,1004,V,222,V,0,V
28-08-2016,24:00,1006,V,168,V,0,V
29-08-2016,24:00,1006,V,259,V,0,V
30-08-2016,24:00,1006,V,257,V,0,V
31-08-2016,24:00,1007,V,268,V,0,V
01-09-2016,24:00,1007,V,271,V,0,V
02-09-2016,24:00,1006,V,261,V,0,V
03-09-2016,24:00,1006,V,261,V,0,V
04-09-2016,24:00,1007,V,281,V,0,V
05-09-2016,24:00,1007,V,244,V,0,V
06-09-2016,24:00,1006,V,260,V,0,V
07-09-2016,24:00,1006,V,264,V,0,V
08-09-2016,24:00,1006,V,248,V,0,V
09-09-2016,24:00,1006,V,253,V,0,V
10-09-2016,24:00,1006,V,249,V,0,V
11-09-2016,24:00,1005,V,248,V,0,V
12-09-2016,24:00,1005,V,180,V,0,V
13-09-2016,24:00,1007,V,256,V,0,V
14-09-2016,24:00,1008,V,233,V,0,V
15-09-2016,24:00,1007,V,190,V,0,V
16-09-2016,24:00,1007,V,248,V,0,V
17-09-2016,24:00,1007,V,247,V,0,V
18-09-2016,24:00,1008,V,118,V,0,V
19-09-2016,24:00,1008,V,231,V,0,V
20-09-2016,24:00,1006,V,251,V,0,V
21-09-2016,24:00,1007,V,251,V,0,V
22-09-2016,24:00,1009,V,253,V,0,V
23-09-2016,24:00,1010,V,233,V,0,V
24-09-2016,24:00,1008,V,252,V,0,V
25-09-2016,24:00,1007,V,240,V,0,V
26-09-2016,24:00,1007,V,235,V,0,V
27-09-2016,24:00,1006,V,226,V,0,V
28-09-2016,24:00,1004,V,233,V,0,V
29-09-2016,24:00,1004,V,231,V,0,V
30-09-2016,24:00,1004,V,255,V,0,V
01-10-2016,24:00,1004,V,234,V,0,V
02-10-2016,24:00,1004,V,209,V,0,V
03-10-2016,24:00,1004,V,135,V,0,V
04-10-2016,24:00,1004,V,118,V,0,V
05-10-2016,24:00,1002,V,187,V,0,V
06-10-2016,24:00,1001,V,234,V,0,V
07-10-2016,24:00,1003,V,193,V,0,V
08-10-2016,24:00,1007,V,217,V,0,V
09-10-2016,24:00,1007,V,148,V,0,V
10-10-2016,24:00,1006,V,169,V,0,V
11-10-2016,24:00,1006,V,193,V,0,V
12-10-2016,24:00,1004,V,193,V,0,V
13-10-2016,24:00,1003,V,178,V,0,V
14-10-2016,24:00,1003,V,177,V,0,V
15-10-2016,24:00,1003,V,162,V,0,V
16-10-2016,24:00,1005,V,155,V,0,V
17-10-2016,24:00,1007,V,136,V,0,V
18-10-2016,24:00,1007,V,206,V,0,V
19-10-2016,24:00,1005,V,203,V,0,V
20-10-2016,24:00,1003,V,203,V,0,V
21-10-2016,24:00,1003,V,201,V,0,V
22-10-2016,24:00,1003,V,182,V,0,V
23-10-2016,24:00,1001,V,185,V,0,V
24-10-2016,24:00,999,V,116,V,0,V
25-10-2016,24:00,999,V,82,V,0.2,V
26-10-2016,24:00,1003,V,121,V,0.8,V
27-10-2016,24:00,1009,V,191,V,0,V
28-10-2016,24:00,1013,V,124,V,0,V
29-10-2016,24:00,1013,V,174,V,0,V
30-10-2016,24:00,1007,V,160,V,0,V
31-10-2016,24:00,1007,V,147,V,0,V
01-11-2016,24:00,1010,V,157,V,0,V
02-11-2016,24:00,1009,V,185,V,0,V
03-11-2016,24:00,1006,V,91,V,0,V
04-11-2016,24:00,1006,V,118,V,0.1,V
05-11-2016,24:00,1006,V,104,V,0,V
06-11-2016,24:00,1005,V,91,V,0.2,V
07-11-2016,24:00,,N,,N,,N
08-11-2016,24:00,,N,,N,,N
09-11-2016,24:00,,N,,N,,N
10-11-2016,24:00,1014,V,168,V,0,V
11-11-2016,24:00,1012,V,153,V,0,V
12-11-2016,24:00,1010,V,141,V,0,V
13-11-2016,24:00,1008,V,156,V,0,V
14-11-2016,24:00,1006,V,180,V,0,V
15-11-2016,24:00,1006,V,150,V,0,V
16-11-2016,24:00,1006,V,149,V,0,V
17-11-2016,24:00,1009,V,161,V,0,V
18-11-2016,24:00,1015,V,145,V,0,V
19-11-2016,24:00,1018,V,152,V,0,V
20-11-2016,24:00,1018,V,174,V,0,V
21-11-2016,24:00,1009,V,138,V,0,V
22-11-2016,24:00,1003,V,109,V,0.1,V
23-11-2016,24:00,1005,V,157,V,0,V
24-11-2016,24:00,1008,V,97,V,0,V
25-11-2016,24:00,1004,V,155,V,0,V
26-11-2016,24:00,1002,V,145,V,0,V
27-11-2016,24:00,1004,V,128,V,0,V
28-11-2016,24:00,1005,V,131,V,0,V
29-11-2016,24:00,1008,V,108,V,0,V
30-11-2016,24:00,1010,V,165,V,0,V
01-12-2016,24:00,1007,V,122,V,0,V
02-12-2016,24:00,1003,V,140,V,0,V
03-12-2016,24:00,1001,V,89,V,0,V
04-12-2016,24:00,1003,V,98,V,0,V
05-12-2016,24:00,1007,V,126,V,0,V
06-12-2016,24:00,1009,V,64,V,0,V
07-12-2016,24:00,1014,V,125,V,0,V
08-12-2016,24:00,1022,V,144,V,0,V
09-12-2016,24:00,1024,V,143,V,0,V
10-12-2016,24:00,1024,V,147,V,0,V
11-12-2016,24:00,1022,V,133,V,0,V
12-12-2016,24:00,1020,V,133,V,0,V
13-12-2016,24:00,1023,V,158,V,0,V
14-12-2016,24:00,1027,V,155,V,0,V
15-12-2016,24:00,1030,V,139,V,0,V
16-12-2016,24:00,1029,V,102,V,0,V
17-12-2016,24:00,1021,V,147,V,0,V
18-12-2016,24:00,1018,V,121,V,0,V
19-12-2016,24:00,1021,V,125,V,0,V
20-12-2016,24:00,1024,V,124,V,0,V
21-12-2016,24:00,1025,V,135,V,0,V
22-12-2016,24:00,1027,V,150,V,0,V
23-12-2016,24:00,1031,V,31,V,0,V
24-12-2016,24:00,1031,V,113,V,0,V
25-12-2016,24:00,1028,V,88,V,0,V
26-12-2016,24:00,1027,V,133,V,0,V
27-12-2016,24:00,1027,V,146,V,0,V
28-12-2016,24:00,1025,V,146,V,0,V
29-12-2016,24:00,1027,V,149,V,0,V
30-12-2016,24:00,1029,V,137,V,0,V
31-12-2016,24:00,1026,V,162,V,0,V
